DATE,TIME,APPX,SECONDARY DATE,APPX 2,TRANS_ID,BBREFID,TYPE,FROMT,FLEAGUE,TTEAM,TLEAGUE,,,,
20121116,,,,,72649,A.J. Kirby-Jones,T ,OAK,AL,SDN,NL,,,,
20110119,,,,,68772,A.J. Morris,T ,WAS,NL,CHN,NL,,,,
20050322,,,,,72593,A.J. Wideman,T ,WAS,NL,TOR,AL,,,,
20150901,,,,,76927,aardd001,R ,ATL,NL,,,,,,
20150607,,,,,76368,aardd001,F ,,,ATL,NL,,,,
20150604,,,,,76349,aardd001,R ,LAN,NL,,,,,,
20150219,,,,,75285,aardd001,F ,,,LAN,NL,,,,
20141104,,,,,74453,aardd001,Fg,SLN,NL,,,,,,
20140326,,,,,72798,aardd001,F ,,,SLN,NL,,,,
20140321,,,,,72748,aardd001,R ,CLE,AL,,,,,,
20140123,,,,,72104,aardd001,F ,,,CLE,AL,,,,
20131031,,,,,70941,aardd001,Fg,NYN,NL,,,,,,
20130520,,,,,70189,aardd001,F ,,,NYN,NL,,,,
20130515,,,,,70167,aardd001,R ,MIA,NL,,,,,,
20130413,,,,,70055,aardd001,F ,,,MIA,NL,,,,
20130404,,,,,69994,aardd001,R ,NYA,AL,,,,,,
20080128,,,,,66822,aardd001,T ,CHA,AL,BOS,AL,,,,
20120222,,,,,65095,aardd001,F ,,,NYA,AL,,,,
20111031,,,,,62995,aardd001,Fg,SEA,AL,,,,,,
20090120,,,,,56552,aardd001,T ,BOS,AL,SEA,AL,,,,
20061116,,,,,53325,aardd001,T ,CHN,NL,CHA,AL,,,,
20050528,,,,,53155,aardd001,T ,SFN,NL,CHN,NL,,,,
20030603,,,20030629,,1,aardd001,Da,,,SFN,NL,,1,22,
19741102,,,,,50563,aaroh101,T ,ATL,NL,MIL,AL,,,,
19520614,,,,,2,aaroh101,Fo,,,BSN,NL,,,,
20110730,,,,,62958,Aaron Baker,T ,PIT,NL,BAL,AL,,,,
19951221,,,,,52198,Aaron Dorlarque,T ,KCA,AL,SDN,NL,,,,
20141217,,,,,74944,Aaron Kurcz,T ,BOS,AL,ATL,NL,,,,
20120315,,,,,66866,Aaron Kurcz,T ,CHN,NL,BOS,AL,,,,
20141219,,,,,74982,Aaron Northcraft,T ,ATL,NL,SDN,NL,,,,
20090729,,,,,62888,Aaron Pribanic,T ,SEA,AL,PIT,NL,,,,
19580528,,,,,3,aarot101,Fa,,,MLN,NL,,,,
19771208,,,,,50813,aased001,T ,BOS,AL,CAL,AL,,,,
19901008,,,,,11,aased001,Fg,LAN,NL,,,,,,
19900220,,,,,10,aased001,F ,,,LAN,NL,,,,
19891113,,,,,9,aased001,Fg,NYN,NL,,,,,,
19890220,,,,,8,aased001,F ,,,NYN,NL,,,,
19881003,,,,,7,aased001,R ,BAL,AL,,,,,,
19841213,,,,,6,aased001,F ,,,BAL,AL,,,,
19841104,,,,,5,aased001,Fg,CAL,AL,,,,,,
19720606,,,,,4,aased001,Da,,,BOS,AL,,6,,
20071029,,,,,27,abada001,Fg,MIL,NL,,,,,,
20070116,,,,,26,abada001,F ,,,MIL,NL,,,,
20061010,,,,,25,abada001,Fg,CIN,NL,,,,,,
20051219,,,,,24,abada001,F ,,,CIN,NL,,,,
20051015,,,,,23,abada001,Fg,CLE,AL,,,,,,
20041115,,,,,22,abada001,F ,,,CLE,AL,,,,
20041015,,,,,21,abada001,Fg,PIT,NL,,,,,,
20031226,,,,,20,abada001,F ,,,PIT,NL,,,,
20031117,,,,,19,abada001,R ,BOS,AL,,,,,,
20030103,,,,,18,abada001,F ,,,BOS,AL,,,,
20021015,,,,,17,abada001,Fg,FLO,NL,,,,,,
20011125,,,,,16,abada001,F ,,,FLO,NL,,,,
20011015,,,,,15,abada001,Fg,OAK,AL,,,,,,
20001117,,,,,14,abada001,F ,,,OAK,AL,,,,
19991015,,,,,13,abada001,Fg,BOS,AL,,,,,,
19930603,,,19930605,,12,abada001,Da,,,BOS,AL,,16,,
20131125,,,,,71704,abadf001,T ,WAS,NL,OAK,AL,,,,
20121101,,,,,69511,abadf001,Fg,HOU,NL,,,,,,
20121119,,,,,66976,abadf001,F ,,,WAS,NL,,,,
20021212,,,,,60089,abadf001,Fa,,,HOU,NL,,,,
19020909,,,,,65096,abbae101,P ,Nashville,(Southern Association),BSN,NL,,,,
19061211,,,,,48390,abbae101,T ,BSN,NL,PIT,NL,,,,
19100917,,,,,29,abbae101,R ,BSN,NL,,,,,,
19100701,,,,,28,abbae101,P ,PIT,NL,BSN,NL,,,,
18930627,,,,,66689,abbeb101,T ,PIT,NL,CHN,NL,,,,
18930000,,,,,31,abbeb101,U ,,,PIT,NL,,,,
18921000,,,,,30,abbeb101,R ,WSN,NL,,,,,,
19051022,,@,,,48363,abbof101,P ,PHI,NL,Toledo,(American Association),,,,
19050129,,,,,48357,abbof101,T ,Columbus,(American Association),PHI,NL,,,,
19040810,,,,,32,abbof101,P ,CLE,AL,Columbus,(American Association),,,,
19840814,,,,,38,abbog001,R ,DET,AL,,,,,,
19830823,,,,,37,abbog001,P ,SEA,AL,DET,AL,,,,"$100,000 "
19820115,,,,,36,abbog001,F ,,,SEA,AL,,,,
19811113,,,,,35,abbog001,Fg,SEA,AL,,,,,,
19761105,,,,,34,abbog001,X ,OAK,AL,SEA,AL,,,24,
19690605,,,,,33,abbog001,Da,,,OAK,AL,,8,,
19950727,,,,,52149,abboj001,T ,CHA,AL,CAL,AL,,,,
19921206,,,,,51961,abboj001,T ,CAL,AL,NYA,AL,,,,
19990723,,,,,49,abboj001,R ,MIL,NL,,,,,,
19990127,,,,,48,abboj001,F ,,,MIL,NL,,,,
19981105,,,,,47,abboj001,Fg,CHA,AL,,,,,,
19980527,,,,,46,abboj001,F ,,,CHA,AL,,,,
19970331,,,,,45,abboj001,R ,ANA,AL,,,,,,
19960109,,,,,44,abboj001,F ,,,CAL,AL,,,,
19951031,,,,,43,abboj001,Fg,CAL,AL,,,,,,
19950408,,,,,42,abboj001,F ,,,CHA,AL,,,,
19941223,,,,,41,abboj001,Fg,NYA,AL,,,,,,
19880601,,,19880803,,40,abboj001,Da,,,CAL,AL,,1,8,
19850603,,,,,39,abboj001,Dn,,,TOR,AL,,36,,
20030525,,,,,64710,abboj002,F ,,,SEA,AL,,,,
20030322,,,,,64709,abboj002,R ,NYN,NL,,,,,,
20030214,,,,,64708,abboj002,F ,,,NYN,NL,,,,
20020829,,,,,64707,abboj002,R ,BOS,AL,,,,,,
20020205,,,,,64706,abboj002,F ,,,BOS,AL,,,,
20001209,,,,,52723,abboj002,T ,CHA,AL,FLO,NL,,,,
20011220,,,,,52,abboj002,Fg,FLO,NL,,,,,,
19940602,,,19940605,,51,abboj002,Da,,,CHA,AL,,4,,
19930603,,,,,50,abboj002,Dn,,,CHA,AL,,32,,
19911208,,,,,51883,abbok001,T ,CAL,AL,PHI,NL,,,,
19961008,,,,,58,abbok001,Fg,ANA,AL,,,,,,
19960529,,,,,57,abbok001,F ,,,CAL,AL,,,,
19951016,,,,,56,abbok001,Fg,PHI,NL,,,,,,
19941206,,,,,55,abbok001,F ,,,PHI,NL,,,,
19931124,,,,,54,abbok001,R ,PHI,NL,,,,,,
19890605,,,,,53,abbok001,Da,,,CAL,AL,,1,9,
20030801,,,,,64715,abbok002,R ,SLN,NL,,,,,,
20030305,,,,,64714,abbok002,F ,,,SLN,NL,,,,
20020614,,,,,64713,abbok002,R ,NYA,AL,,,,,,
20020607,,,,,64712,abbok002,F ,,,NYA,AL,,,,
20020315,,,,,64711,abbok002,R ,MIN,AL,,,,,,
19980609,,,,,52441,abbok002,T ,OAK,AL,COL,NL,,,,
19971219,,,,,52408,abbok002,T ,FLO,NL,OAK,AL,,,,
19931220,,,,,52046,abbok002,T ,OAK,AL,FLO,NL,,,,
20020114,,,,,65,abbok002,F ,,,MIN,AL,,,,
20011105,,,,,64,abbok002,Fg,ATL,NL,,,,,,
20010108,,,,,63,abbok002,F ,,,ATL,NL,,,,
20001103,,,,,62,abbok002,Fg,NYN,NL,,,,,,
20000126,,,,,61,abbok002,F ,,,NYN,NL,,,,
19991101,,,,,60,abbok002,Fg,COL,NL,,,,,,
19890605,,,19890615,,59,abbok002,Da,,,OAK,AL,,15,,
19100808,,,,,66,abboo101,P ,Newcastle,(Ohio-Pennsylvania),SLN,NL,,,,
20030808,,,,,72585,abbop001,T ,ARI,NL,KCA,AL,,,,
20040908,,,,,86,abbop001,R ,PHI,NL,,,,,,
20040607,,,,,85,abbop001,F ,,,PHI,NL,,,,
20040603,,,,,84,abbop001,R ,TBA,AL,,,,,,
20031114,,,,,83,abbop001,F ,,,TBA,AL,,,,
20031015,,,,,82,abbop001,Fg,KCA,AL,,,,,,
20030227,,,,,81,abbop001,F ,,,ARI,NL,,,,
20021119,,,,,80,abbop001,R ,SEA,AL,,,,,,
19990104,,,,,79,abbop001,F ,,,SEA,AL,,,,
19981214,,,,,78,abbop001,R ,SEA,AL,,,,,,
19970110,,,,,77,abbop001,F ,,,SEA,AL,,,,
19961015,,,,,76,abbop001,Fg,SDN,NL,,,,,,
19951129,,,,,75,abbop001,F ,,,SDN,NL,,,,
19951016,,,,,74,abbop001,Fg,CHN,NL,,,,,,
19950317,,,,,73,abbop001,F ,,,CHN,NL,,,,
19940630,,,,,72,abbop001,R ,KCA,AL,,,,,,
19931121,,,,,71,abbop001,F ,,,KCA,AL,,,,
19931015,,,,,70,abbop001,Fg,CLE,AL,,,,,,
19930327,,,,,69,abbop001,F ,,,CLE,AL,,,,
19930302,,,,,68,abbop001,R ,MIN,AL,,,,,,
19850603,,,19850606,,67,abbop001,Da,,,MIN,AL,,3,,
20061013,,,,,53320,Abe Woody,T ,CIN,NL,ARI,NL,,,,
19530615,,,,,49376,abera101,T ,CLE,AL,DET,AL,,,,
19570827,,,,,88,abera101,W ,DET,AL,KC1,AL,,,,
19460000,,,,,87,abera101,Fa,,,CLE,AL,,,,
20000731,,,,,52691,aberb001,T ,TOR,AL,TBA,AL,,,,
20071029,,,,,101,aberb001,Fg,WAS,NL,,,,,,
20070413,,,,,100,aberb001,C ,PHI,NL,WAS,NL,,,,
20061219,,,,,99,aberb001,F ,,,PHI,NL,,,,
20061015,,,,,98,aberb001,Fg,MIL,NL,,,,,,
20051201,,,,,97,aberb001,F ,,,MIL,NL,,,,
20051012,,,,,96,aberb001,Fg,MIN,AL,,,,,,
20050103,,,,,95,aberb001,F ,,,MIN,AL,,,,
20041015,,,,,94,aberb001,Fg,CLE,AL,,,,,,
20040325,,,,,93,aberb001,P ,DET,AL,CLE,AL,,,,
20040106,,,,,92,aberb001,F ,,,DET,AL,,,,
20031107,,,,,91,aberb001,R ,KCA,AL,,,,,,
20030404,,,,,90,aberb001,W ,TBA,AL,KCA,AL,,,,
19960604,,,19960824,,89,aberb001,Da,,,TOR,AL,,2,,
19531001,,,,,49378,aberb101,T ,CLE,AL,BRO,NL,,,,
19480000,,,,,102,aberb101,Fa,,,CLE,AL,,,,
19410000,,,,,103,aberc101,Fa,,,CHN,NL,,,,
20091109,,,,,58137,aberr001,Fg,HOU,NL,,,,,,
20081218,,,,,54842,aberr001,F ,,,HOU,NL,,,,
20081212,,,,,54841,aberr001,Fg,HOU,NL,,,,,,
20071011,,,,,107,aberr001,W ,FLO,NL,HOU,NL,,,,
20050406,,,,,106,aberr001,W ,ARI,NL,FLO,NL,,,,
20040731,,,,,105,aberr001,C ,LAN,NL,ARI,NL,,,,
19990602,,,20000524,,104,aberr001,Da,,,LAN,NL,,23,,
19690109,,,,,72324,abert101,T ,CIN,NL,CHN,NL,,,,
19700701,,,,,50208,abert101,T ,SLN,NL,KCA,AL,,,,
19700529,,,,,50198,abert101,T ,CHN,NL,SLN,NL,,,,
19660528,,,,,49951,abert101,T ,CHN,NL,ATL,NL,,,,
19730202,,,,,114,abert101,R ,KCA,AL,,,,,,
19661128,,,,,113,abert101,D ,ATL,NL,CIN,NL,,,,
19650411,,,,,112,abert101,P ,CLE,AL,CHN,NL,,,,
19610720,,@,,,111,abert101,P ,MLN,NL,CLE,AL,,,,
19600600,,,,,110,abert101,F ,,,MLN,NL,,,,
19600517,,,,,109,abert101,R ,WS1,AL,,,,,,
19520000,,,,,108,abert101,Fa,,,WS1,AL,,,,
19420000,,,,,115,abert102,Fa,,,PHA,AL,,,,
19420000,,,,,118,aberw101,F ,,,NY1,NL,,,,
19390000,,,,,117,aberw101,R ,BSN,NL,,,,,,
19380000,,,,,116,aberw101,Fa,,,BSN,NL,,,,
19100800,,@,,,53436,ableh101,P ,San Antonio,(Texas),NYA,AL,,,,"$1,000 "
19090825,,,,,119,ableh101,P ,San Antonio,(Texas),CLE,AL,,,,
20110728,,,,,62950,Abner Abreu,T ,CLE,AL,CHN,NL,,,,
19910730,,,,,51867,abnes001,T ,SDN,NL,CAL,AL,,,,
19861211,,,,,51465,abnes001,T ,NYN,NL,SDN,NL,,,,
19920403,,,,,122,abnes001,F ,,,CHA,AL,,,,
19920325,,,,,121,abnes001,R ,CAL,AL,,,,,,
19840604,,,,,120,abnes001,Da,,,NYN,NL,,1,1,
19551018,,,,,49460,abrac101,T ,BAL,AL,CHA,AL,,,,
19540525,,,,,49407,abrac101,T ,PIT,NL,BAL,AL,,,,
19521014,,,,,49354,abrac101,T ,CIN,NL,PIT,NL,,,,
19520609,,,,,49341,abrac101,T ,BRO,NL,CIN,NL,,,,
19420000,,,,,123,abrac101,Fa,,,BRO,NL,,,,
20141030,,,,,74171,abreb001,Fg,NYN,NL,,,,,,
20140814,,,,,73696,abreb001,F ,,,NYN,NL,,,,
20140810,,,,,73668,abreb001,R ,NYN,NL,,,,,,
20140331,,,,,72862,abreb001,F ,,,NYN,NL,,,,
20140327,,,,,72810,abreb001,R ,PHI,NL,,,,,,
20140121,,,,,72086,abreb001,F ,,,PHI,NL,,,,
20121029,,,,,65099,abreb001,Fg,LAN,NL,,,,,,
20120504,,,,,65098,abreb001,F ,,,LAN,NL,,,,
20120427,,,,,65097,abreb001,R ,ANA,AL,,,,,,
20060730,,,,,60583,abreb001,T ,PHI,NL,NYA,AL,,,,
20090212,,,,,56870,abreb001,F ,,,ANA,AL,,,,
20081030,,,,,54843,abreb001,Fg,NYA,AL,,,,,,
19971118,,,,,52387,abreb001,T ,TBA,AL,PHI,NL,,,,
19971118,,,,,125,abreb001,X ,HOU,NL,TBA,AL,,,6,
19900821,,,,,124,abreb001,Fa,,,HOU,NL,,,,
19831205,,,,,127,abrej001,D ,PHI,NL,CHN,NL,,,,
19810608,,,19810611,,126,abrej001,Da,,,PHI,NL,,1,20,
20140717,,,,,73564,abrej002,R ,LAN,NL,,,,,,
20131213,,,,,71950,abrej002,F ,,,LAN,NL,,,,
20131105,,,,,71188,abrej002,Fg,LAN,NL,,,,,,
20110731,,,,,68169,abrej002,T ,ATL,NL,HOU,NL,,,,
20121113,,,,,66977,abrej002,F ,,,LAN,NL,,,,
20121017,,,,,65101,abrej002,Fg,TOR,AL,,,,,,
20120810,,,,,65100,abrej002,W ,HOU,NL,TOR,AL,,,,
20091124,,,,,62319,abrej002,F ,,,ATL,NL,,,,
20091109,,,,,62318,abrej002,Fg,KCA,AL,,,,,,
20030709,,,,,62317,abrej002,Fa,,,KCA,AL,,,,
20131029,,,,,72866,abrej003,Fa,,,CHA,AL,,,,
19420716,,,,,57941,abrej101,T ,CIN,NL,NYA,AL,,,,
19420320,,@,,,128,abrej101,U ,Birmingham,(Southern Association),CIN,NL,,,,
20141015,,,,,74085,abret001,Fg,SFN,NL,,,,,,
20140328,,,,,72830,abret001,F ,,,SFN,NL,,,,
20140323,,,,,72765,abret001,R ,SFN,NL,,,,,,
20130204,,,,,69753,abret001,W ,KCA,AL,SFN,NL,,,,
20111201,,,,,62997,abret001,F ,,,KCA,AL,,,,
20111102,,,,,62996,abret001,Fg,ARI,NL,,,,,,
20091009,,,,,58136,abret001,T ,LAN,NL,ARI,NL,,,,
20021017,,,,,129,abret001,Fa,,,LAN,NL,,,,
20020319,,,,,72569,abrew001,T ,SDN,NL,CHN,NL,,,,
20101129,,,,,68639,abrew001,F ,,,TOR,AL,,,,
20120418,,,,,65102,abrew001,R ,BAL,AL,,,,,,
20120111,,,,,62999,abrew001,F ,,,BAL,AL,,,,
20111102,,,,,62998,abrew001,Fg,TOR,AL,,,,,,
20101106,,,,,60712,abrew001,Fg,TBA,AL,,,,,,
20091208,,,,,58139,abrew001,F ,,,TBA,AL,,,,
20091109,,,,,58138,abrew001,Fg,TBA,AL,,,,,,
20090702,,,,,58048,abrew001,T ,TBA,AL,CLE,AL,,,,
20090806,,,,,56873,abrew001,F ,,,TBA,AL,,,,
20090801,,,,,56872,abrew001,R ,CLE,AL,,,,,,
20090206,,,,,56871,abrew001,F ,,,TBA,AL,,,,
20010906,,,,,52805,abrew001,T ,ATL,NL,SDN,NL,,,,
20071011,,,,,143,abrew001,Fg,WAS,NL,,,,,,
20070508,,,,,142,abrew001,F ,,,WAS,NL,,,,
20061016,,,,,141,abrew001,Fg,BAL,AL,,,,,,
20051220,,,,,140,abrew001,F ,,,BAL,AL,,,,
20050830,,,,,139,abrew001,R ,ARI,NL,,,,,,
20040614,,,,,138,abrew001,F ,,,ARI,NL,,,,
20040610,,,,,137,abrew001,R ,LAN,NL,,,,,,
20040112,,,,,136,abrew001,F ,,,LAN,NL,,,,
20030321,,,,,135,abrew001,R ,NYA,AL,,,,,,
20021122,,,,,134,abrew001,F ,,,NYA,AL,,,,
20021015,,,,,133,abrew001,Fg,KCA,AL,,,,,,
20020509,,,,,132,abrew001,F ,,,KCA,AL,,,,
20020430,,,,,131,abrew001,R ,CHN,NL,,,,,,
19930702,,,,,130,abrew001,Fa,,,ATL,NL,,,,
19060800,,@,,,53437,abstb101,P ,Shreveport,(Southern Association),PIT,NL,,,,
19100106,,,,,144,abstb101,W ,PIT,NL,SLA,AL,,,,
20150328,,,,,75399,accaj001,R ,ARI,NL,,,,,,
20150224,,,,,75306,accaj001,F ,,,ARI,NL,,,,
20130626,,,,,70387,accaj001,R ,WAS,NL,,,,,,
20130205,,,,,69761,accaj001,F ,,,WAS,NL,,,,
20101217,,,,,68685,accaj001,F ,,,BAL,AL,,,,
20121018,,,,,65105,accaj001,Fg,OAK,AL,,,,,,
20120815,,,,,65104,accaj001,F ,,,OAK,AL,,,,
20120809,,,,,65103,accaj001,R ,CLE,AL,,,,,,
20120119,,,,,63001,accaj001,F ,,,CLE,AL,,,,
20111011,,,,,63000,accaj001,Fg,BAL,AL,,,,,,
20101202,,,,,60714,accaj001,Fg,TOR,AL,,,,,,
20060722,,,,,53277,accaj001,T ,SFN,NL,TOR,AL,,,,
20030812,,,,,145,accaj001,Fa,,,SFN,NL,,,,
20151106,,,,,77482,aceva001,Fg,SFN,NL,,,,,,
20150305,,,,,75324,aceva001,F ,,,SFN,NL,,,,
20140827,,,,,73750,aceva001,R ,NYA,AL,,,,,,
20140329,,,,,72829,aceva001,F ,,,NYA,AL,,,,
20140328,,,,,72828,aceva001,R ,BAL,AL,,,,,,
20140115,,,,,72053,aceva001,F ,,,BAL,AL,,,,
20131001,,,,,71333,aceva001,Fg,BOS,AL,,,,,,
20110208,,,,,60717,aceva001,F ,,,BOS,AL,,,,
20101202,,,,,60716,aceva001,Fg,NYA,AL,,,,,,
20080201,,,,,54846,aceva001,F ,,,NYA,AL,,,,
20020424,,,,,54845,aceva001,P ,TOR,AL,Yucatan,(Mexican),,,,
20010124,,,,,54844,aceva001,Fa,,,TOR,AL,,,,
20010806,,,,,72567,acevj001,T ,COL,NL,FLO,NL,,,,
19950731,,,,,72514,acevj001,T ,COL,NL,NYN,NL,,,,
20010404,,,,,52752,acevj001,T ,MIL,NL,COL,NL,,,,
19991220,,,,,52620,acevj001,T ,SLN,NL,MIL,NL,,,,
19980328,,,,,52425,acevj001,T ,NYN,NL,SLN,NL,,,,
20050211,,,,,156,acevj001,F ,,,ARI,NL,,,,
20040528,,,,,155,acevj001,R ,PIT,NL,,,,,,
20031205,,,,,154,acevj001,F ,,,PIT,NL,,,,
20030809,,,,,153,acevj001,R ,TOR,AL,,,,,,
20030617,,,,,152,acevj001,F ,,,TOR,AL,,,,
20030610,,,,,151,acevj001,R ,NYA,AL,,,,,,
20030127,,,,,150,acevj001,F ,,,NYA,AL,,,,
20021028,,,,,149,acevj001,Fg,DET,AL,,,,,,
20011220,,,,,148,acevj001,F ,,,DET,AL,,,,
20011126,,,,,147,acevj001,Fg,FLO,NL,,,,,,
19920601,,,19920603,,146,acevj001,Da,,,COL,NL,,14,,
20050409,,,,,53152,acevj002,T ,CIN,NL,COL,NL,,,,
20061015,,,,,160,acevj002,Fg,COL,NL,,,,,,
